SrcEntity	TgtEntity	Score
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3443	http://purl.obolibrary.org/obo/DOID_1245	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3446	http://purl.obolibrary.org/obo/DOID_8924	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3447	http://purl.obolibrary.org/obo/DOID_5688	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36089	http://purl.obolibrary.org/obo/DOID_8227	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40341	http://purl.obolibrary.org/obo/DOID_10892	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2889	http://purl.obolibrary.org/obo/DOID_417	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4272	http://purl.obolibrary.org/obo/DOID_2639	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3574	http://purl.obolibrary.org/obo/DOID_8731	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38760	http://purl.obolibrary.org/obo/DOID_3038	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3575	http://purl.obolibrary.org/obo/DOID_170	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3451	http://purl.obolibrary.org/obo/DOID_4424	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26699	http://purl.obolibrary.org/obo/DOID_813	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38762	http://purl.obolibrary.org/obo/DOID_4687	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4076	http://purl.obolibrary.org/obo/DOID_2112	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26691	http://purl.obolibrary.org/obo/DOID_10493	1.0
